source_group,repo_id,private,domain_type,total_size_mb,data_size_mb,video_size_mb,total_episodes,total_frames,total_tasks,total_hours,avg_seconds_per_episode,fps,observation_fps,action_fps,robot_type,embodiment_type,embodiment_confidence,embodiment_reason,action_dim,action_shape,state_dim,state_shape,visual_stream_count,visual_stream_keys,visual_dimensions,visual_dtypes,text_annotation_extent,task_text_present,task_text_count,task_text_examples,temporal_dense_present,temporal_sparse_present,language_feature_keys,readme_url,dataset_url,generation_error
official_lerobot,lerobot/aloha_mobile_shrimp,False,unknown,300.0,100.0,200.0,18,67500,1,0.375,75.0,50.0,50.0,50.0,aloha,mobile_manipulator,high,repo/readme indicates mobile manipulator,14,14,14,14,3,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video,single_task_instruction,True,1,"Sauté the raw shrimp on both sides, then serve it in the bowl.",False,False,,https://huggingface.co/datasets/lerobot/aloha_mobile_shrimp/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_mobile_shrimp,
official_lerobot,lerobot/aloha_mobile_shrimp_image,False,unknown,600.0,100.0,500.0,1,3750,1,0.021,75.0,50.0,50.0,50.0,unknown,mobile_manipulator,high,repo/readme indicates mobile manipulator,14,14,14,14,3,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_right_wrist:480x640x3,image | image | image,single_task_instruction,True,1,dummy task,False,False,,https://huggingface.co/datasets/lerobot/aloha_mobile_shrimp_image/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_mobile_shrimp_image,
official_lerobot,lerobot/aloha_mobile_wash_pan,False,unknown,600.0,100.0,500.0,50,55000,1,0.306,22.0,50.0,50.0,50.0,aloha,mobile_manipulator,high,repo/readme indicates mobile manipulator,14,14,14,14,3,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video,single_task_instruction,True,1,"Pick up the pan, rinse it in the sink and then place it in the drying rack.",False,False,,https://huggingface.co/datasets/lerobot/aloha_mobile_wash_pan/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_mobile_wash_pan,
official_lerobot,lerobot/aloha_mobile_wipe_wine,False,unknown,600.0,100.0,500.0,50,65000,1,0.361,26.0,50.0,50.0,50.0,aloha,mobile_manipulator,high,repo/readme indicates mobile manipulator,14,14,14,14,3,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video,single_task_instruction,True,1,Pick up the wet cloth on the faucet and use it to clean the spilled wine on the table and underneath the glass.,False,False,,https://huggingface.co/datasets/lerobot/aloha_mobile_wipe_wine/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_mobile_wipe_wine,
official_lerobot,lerobot/aloha_sim_insertion_human,False,sim,87.12,,,50,25000,1,0.139,10.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,1,observation.images.top,observation.images.top:480x640x3,video,single_task_instruction,True,1,Insert the peg into the socket.,False,False,,https://huggingface.co/datasets/lerobot/aloha_sim_insertion_human/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_sim_insertion_human,
official_lerobot,lerobot/aloha_sim_insertion_human_image,False,sim,600.0,100.0,500.0,50,25000,1,0.139,10.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,1,observation.images.top,observation.images.top:480x640x3,image,single_task_instruction,True,1,Insert the peg into the socket.,False,False,,https://huggingface.co/datasets/lerobot/aloha_sim_insertion_human_image/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_sim_insertion_human_image,
official_lerobot,lerobot/aloha_sim_insertion_scripted,False,sim,67.71,,,50,20000,1,0.111,8.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,1,observation.images.top,observation.images.top:480x640x3,video,single_task_instruction,True,1,Insert the peg into the socket.,False,False,,https://huggingface.co/datasets/lerobot/aloha_sim_insertion_scripted/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_sim_insertion_scripted,
official_lerobot,lerobot/aloha_sim_insertion_scripted_image,False,sim,600.0,100.0,500.0,50,20000,1,0.111,8.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,1,observation.images.top,observation.images.top:480x640x3,image,single_task_instruction,True,1,Insert the peg into the socket.,False,False,,https://huggingface.co/datasets/lerobot/aloha_sim_insertion_scripted_image/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_sim_insertion_scripted_image,
official_lerobot,lerobot/aloha_sim_transfer_cube_human,False,sim,66.65,,,50,20000,1,0.111,8.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,1,observation.images.top,observation.images.top:480x640x3,video,single_task_instruction,True,1,Pick up the cube with the right arm and transfer it to the left arm.,False,False,,https://huggingface.co/datasets/lerobot/aloha_sim_transfer_cube_human/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_sim_transfer_cube_human,
official_lerobot,lerobot/aloha_sim_transfer_cube_human_image,False,sim,600.0,100.0,500.0,50,20000,1,0.111,8.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,1,observation.images.top,observation.images.top:480x640x3,image,single_task_instruction,True,1,Pick up the cube with the right arm and transfer it to the left arm.,False,False,,https://huggingface.co/datasets/lerobot/aloha_sim_transfer_cube_human_image/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_sim_transfer_cube_human_image,
official_lerobot,lerobot/aloha_sim_transfer_cube_scripted,False,sim,600.0,100.0,500.0,50,20000,1,0.111,8.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,1,observation.images.top,observation.images.top:480x640x3,video,single_task_instruction,True,1,Pick up the cube with the right arm and transfer it to the left arm.,False,False,,https://huggingface.co/datasets/lerobot/aloha_sim_transfer_cube_scripted/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_sim_transfer_cube_scripted,
official_lerobot,lerobot/aloha_sim_transfer_cube_scripted_image,False,sim,600.0,100.0,500.0,50,20000,1,0.111,8.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,1,observation.images.top,observation.images.top:480x640x3,image,single_task_instruction,True,1,Pick up the cube with the right arm and transfer it to the left arm.,False,False,,https://huggingface.co/datasets/lerobot/aloha_sim_transfer_cube_scripted_image/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_sim_transfer_cube_scripted_image,
official_lerobot,lerobot/aloha_static_battery,False,unknown,300.0,100.0,200.0,49,29400,1,0.163,12.0,50.0,50.0,50.0,unknown,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,4,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_low | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_low:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video | video,single_task_instruction,True,1,Place the battery into the slot of the remote controller.,False,False,,https://huggingface.co/datasets/lerobot/aloha_static_battery/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_static_battery,
official_lerobot,lerobot/aloha_static_candy,False,unknown,600.0,100.0,500.0,50,35000,1,0.194,14.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,4,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_low | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_low:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video | video,single_task_instruction,True,1,Pick up the candy and unwrap it.,False,False,,https://huggingface.co/datasets/lerobot/aloha_static_candy/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_static_candy,
official_lerobot,lerobot/aloha_static_coffee,False,unknown,600.0,100.0,500.0,50,55000,1,0.306,22.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,4,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_low | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_low:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video | video,single_task_instruction,True,1,"Place the coffee capsule inside the capsule container, then place the cup onto the center of the cup tray, then push the 'Hot Water' and 'Travel Mug' buttons.",False,False,,https://huggingface.co/datasets/lerobot/aloha_static_coffee/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_static_coffee,
official_lerobot,lerobot/aloha_static_coffee_new,False,unknown,600.0,100.0,500.0,50,75000,1,0.417,30.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,4,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_low | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_low:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video | video,single_task_instruction,True,1,"Place the coffee capsule inside the capsule container, then place the cup onto the center of the cup tray.",False,False,,https://huggingface.co/datasets/lerobot/aloha_static_coffee_new/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_static_coffee_new,
official_lerobot,lerobot/aloha_static_cups_open,False,unknown,600.0,100.0,500.0,50,20000,1,0.111,8.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,4,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_low | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_low:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video | video,single_task_instruction,True,1,Pick up the plastic cup and open its lid.,False,False,,https://huggingface.co/datasets/lerobot/aloha_static_cups_open/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_static_cups_open,
official_lerobot,lerobot/aloha_static_fork_pick_up,False,unknown,300.0,100.0,200.0,100,60000,1,0.333,12.0,50.0,50.0,50.0,unknown,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,4,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_low | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_low:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video | video,single_task_instruction,True,1,"""Pick up the fork and place it on the plate.""",False,False,,https://huggingface.co/datasets/lerobot/aloha_static_fork_pick_up/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_static_fork_pick_up,
official_lerobot,lerobot/aloha_static_pingpong_test,False,unknown,600.0,100.0,500.0,10,6000,1,0.033,12.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,4,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_low | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_low:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video | video,single_task_instruction,True,1,"Transfer one of the two balls in the right glass into the left glass, then transfer it back to the right glass.",False,False,,https://huggingface.co/datasets/lerobot/aloha_static_pingpong_test/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_static_pingpong_test,
official_lerobot,lerobot/aloha_static_pro_pencil,False,unknown,600.0,100.0,500.0,25,8750,1,0.049,7.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,4,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_low | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_low:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video | video,single_task_instruction,True,1,"Pick up the pencil with the right arm, hand it over to the left arm then place it back onto the table.",False,False,,https://huggingface.co/datasets/lerobot/aloha_static_pro_pencil/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_static_pro_pencil,
official_lerobot,lerobot/aloha_static_screw_driver,False,unknown,600.0,100.0,500.0,50,20000,1,0.111,8.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,4,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_low | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_low:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video | video,single_task_instruction,True,1,"Pick up the screwdriver with the right arm, hand it over to the left arm then place it into the cup.",False,False,,https://huggingface.co/datasets/lerobot/aloha_static_screw_driver/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_static_screw_driver,
official_lerobot,lerobot/aloha_static_tape,False,unknown,300.0,100.0,200.0,50,35000,1,0.194,14.0,50.0,50.0,50.0,unknown,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,4,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_low | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_low:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video | video,single_task_instruction,True,1,"""Cut a small piece of tape from the tape dispenser then place it on the cardboard box's edge.""",False,False,,https://huggingface.co/datasets/lerobot/aloha_static_tape/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_static_tape,
official_lerobot,lerobot/aloha_static_thread_velcro,False,unknown,300.0,100.0,200.0,49,34300,1,0.191,14.0,50.0,50.0,50.0,unknown,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,4,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_low | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_low:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video | video,single_task_instruction,True,1,"Pick up the velcro cable tie with the left arm, then insert the end of the velcro tie into the other end's loop with the right arm.",False,False,,https://huggingface.co/datasets/lerobot/aloha_static_thread_velcro/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_static_thread_velcro,
official_lerobot,lerobot/aloha_static_towel,False,unknown,600.0,100.0,500.0,50,25000,1,0.139,10.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,4,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_low | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_low:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video | video,single_task_instruction+dense_temporal+sparse_temporal,True,1,Pick up a piece of paper towel and place it on the spilled liquid.,True,True,,https://huggingface.co/datasets/lerobot/aloha_static_towel/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_static_towel,
official_lerobot,lerobot/aloha_static_vinh_cup,False,unknown,600.0,100.0,500.0,101,45500,1,0.253,9.01,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,4,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_low | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_low:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video | video,single_task_instruction,True,1,"Pick up the platic cup with the right arm, then pop its lid open with the left arm.",False,False,,https://huggingface.co/datasets/lerobot/aloha_static_vinh_cup/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_static_vinh_cup,
official_lerobot,lerobot/aloha_static_vinh_cup_left,False,unknown,600.0,100.0,500.0,100,50000,1,0.278,10.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,4,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_low | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_low:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video | video,single_task_instruction,True,1,"Pick up the platic cup with the left arm, then pop its lid open with the right arm.",False,False,,https://huggingface.co/datasets/lerobot/aloha_static_vinh_cup_left/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_static_vinh_cup_left,
official_lerobot,lerobot/aloha_static_ziploc_slide,False,unknown,600.0,100.0,500.0,56,16800,1,0.093,6.0,50.0,50.0,50.0,aloha,dual_arm,high,ALOHA or bimanual naming indicates dual-arm embodiment,14,14,14,14,4,observation.images.cam_high | observation.images.cam_left_wrist | observation.images.cam_low | observation.images.cam_right_wrist,observation.images.cam_high:480x640x3 | observation.images.cam_left_wrist:480x640x3 | observation.images.cam_low:480x640x3 | observation.images.cam_right_wrist:480x640x3,video | video | video | video,single_task_instruction,True,1,Slide open the ziploc bag.,False,False,,https://huggingface.co/datasets/lerobot/aloha_static_ziploc_slide/blob/main/README.md,https://huggingface.co/datasets/lerobot/aloha_static_ziploc_slide,
official_lerobot,lerobot/asu_table_top,False,unknown,600.0,100.0,500.0,110,26113,216,1.451,47.48,5.0,5.0,5.0,unknown,single_arm,medium,action/state dimension matches common single-arm control,7,7,7,7,1,observation.images.image,observation.images.image:224x224x3,video,multi_task_instruction,True,216,put down glass bottle | place down bottle | place down glass bottle,False,False,,https://huggingface.co/datasets/lerobot/asu_table_top/blob/main/README.md,https://huggingface.co/datasets/lerobot/asu_table_top,
official_lerobot,lerobot/austin_buds_dataset,False,unknown,600.0,100.0,500.0,50,34112,1,1.895,136.45,5.0,5.0,5.0,unknown,single_arm,medium,action/state dimension matches common single-arm control,7,7,24,24,2,observation.images.image | observation.images.wrist_image,observation.images.image:128x128x3 | observation.images.wrist_image:128x128x3,video | video,single_task_instruction,True,1,"Take the lid off the pot, put the pot on the plate, and use the tool to push to pot to the front of the table.",False,False,,https://huggingface.co/datasets/lerobot/austin_buds_dataset/blob/main/README.md,https://huggingface.co/datasets/lerobot/austin_buds_dataset,
official_lerobot,lerobot/austin_sailor_dataset,False,unknown,600.0,100.0,500.0,240,353094,4,4.904,73.56,20.0,20.0,20.0,unknown,single_arm,medium,action/state dimension matches common single-arm control,7,7,8,8,2,observation.images.wrist_image | observation.images.image,observation.images.wrist_image:128x128x3 | observation.images.image:128x128x3,video | video,multi_task_instruction,True,4,"Interact with the objects in diverse but meaningful ways. | Place the fish, sausage, and tomato into the frying pan. | Place the bread, butter, and milk from the table onto the serving area.",False,False,,https://huggingface.co/datasets/lerobot/austin_sailor_dataset/blob/main/README.md,https://huggingface.co/datasets/lerobot/austin_sailor_dataset,
official_lerobot,lerobot/austin_sirius_dataset,False,unknown,600.0,100.0,500.0,559,279939,2,3.888,25.04,20.0,20.0,20.0,unknown,single_arm,medium,action/state dimension matches common single-arm control,7,7,8,8,2,observation.images.image | observation.images.wrist_image,observation.images.image:84x84x3 | observation.images.wrist_image:84x84x3,video | video,multi_task_instruction,True,2,"Open the kcup holder, insert the kcup into the holder, and close the kcup holder | Insert the blue gear onto the right peg, followed by the red gear",False,False,,https://huggingface.co/datasets/lerobot/austin_sirius_dataset/blob/main/README.md,https://huggingface.co/datasets/lerobot/austin_sirius_dataset,
official_lerobot,lerobot/behavior1k-task0000,False,unknown,600.0,100.0,500.0,200,429928,1,3.981,71.65,30.0,30.0,30.0,R1Pro,unknown,low,no strong embodiment signal found,23,23,256,256,9,observation.images.rgb.left_wrist | observation.images.rgb.right_wrist | observation.images.rgb.head | observation.images.depth.left_wrist | observation.images.depth.right_wrist | observation.images.depth.head | observation.images.seg_instance_id.left_wrist | observation.images.seg_instance_id.right_wrist | observation.images.seg_instance_id.head,observation.images.rgb.left_wrist:480x480x3 | observation.images.rgb.right_wrist:480x480x3 | observation.images.rgb.head:720x720x3 | observation.images.depth.left_wrist:480x480x3 | observation.images.depth.right_wrist:480x480x3 | observation.images.depth.head:720x720x3 | observation.images.seg_instance_id.left_wrist:480x480x3 | observation.images.seg_instance_id.right_wrist:480x480x3 | observation.images.seg_instance_id.head:720x720x3,video | video | video | video | video | video | video | video | video,single_task_instruction+language_fields,True,1,Turn on the radio receiver that's on the table in the living room.,False,False,observation.task_info,https://huggingface.co/datasets/lerobot/behavior1k-task0000/blob/main/README.md,https://huggingface.co/datasets/lerobot/behavior1k-task0000,
